Name,Adress,,Number,Topic,Description and information
Punt Verd de Barri - Clot,C Escultors Claperós 51 (Sant Martí),"41.405024, 2.195429",,Public amenities,
"Punt ancoratge de bicis, n'hi ha molts",,,,Mobility,
Punt d'Assessorament Energètic - Centre Cultural La Farinera del Clot,Gran Via de les Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",930008054,Public amenities,
Punt d'Informació i Atenció a les Dones de Sant Martí,Gran Via de les Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",900922357,Women,
"SILO, Camí pel Desenvolupament dels Nens de Guinea Bissau",Gran Via de les Corts Catalanes 839 - 841 (Sant Martí),"41.408587, 2.186446",649 047 573,Solidarity/Activism,
Sant Martí amb el Sàhara,G.V. Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",933089793,Solidarity/Activism,
Servei Especialitzat d'Atenció a la Infància i Adolescència (SEAIA) *Sant Martí,C Corunya 5*7 (Sant Martí),"41.407317, 2.197305",93 256 59 20,Public amenities,
Servei d'Orientació i Acompanyament per a Persones Immigrades *Sant Martí,Pl Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",648191666,Public amenities,
Seu del Districte de Sant Martí,Plaça de Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",934027000,Public amenities,
Tolc La Bèstia del Clot - Tabalers del Clot - Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Culture,
Unión de Canaricultores de Barcelona,Av Meridiana 91 (Sant Martí),"41.406234, 2.188753",932324204,Culture,
Xarxa de Dones de 50 i Més,Carrer del Concili de Trento 15 (Sant Martí),"41.413732, 2.180977",934850324,Women,
Àrea per a Gossos - Jardí de Joana Tomàs,C València 643 (Sant Martí),"41.406426, 2.186685",,Public amenities,
Àrea d'Esbarjo per a Gossos - Parc de les Glòries,Plaça de les Glòries Catalanes 0 (Sant Martí),"41.4036° N, 2.1891° E",,Public amenities,
Àrea d'Esbarjo per a Gossos - Parc del Clot,Carrer dels Escultors Claperós 55 - 63 (Sant Martí),"41.405156, 2.195628",,Public amenities,
